# of words	Encryption Time/ms	Decryption Time/ms
1000	10.52	22.42
2000	21.39	41.05
3000	27.07	58.44
4000	33.02	77.63
5000	42.75	102.56
6000	48.19	114.23
7000	55.68	131.80
8000	65.04	160.50
9000	70.19	168.50
10000	77.64	186.64
